Timestamp,Id,DL
1693352052.981505,0cf00400,ff ff 7f c0 12 ff ff ff
1693352052.981768,0cfedf00,93 c0 12 ff ff ff ff ff
1693352053.284818,0cf00300,ff 00 0b ff ff ff ff ff
1693352053.285059,0cf00400,ff ff 81 c0 12 ff ff ff
1693352053.285666,0cfedf00,90 c0 12 ff ff ff ff ff
1693352053.286236,0cfee900,ff ff ff ff e2 71 00 00
1693352053.286794,0cfef600,1c 1b 43 ff ff ff ff ff
1693352053.590286,0cf00400,ff ff 83 c0 12 ff ff ff
1693352053.590526,0cfedf00,91 c0 12 ff ff ff ff ff
1693352053.894473,0cf00300,ff 00 17 ff ff ff ff ff
1693352053.894893,0cf00400,ff ff 7e c0 12 ff ff ff
1693352053.895434,0cfedf00,8e c0 12 ff ff ff ff ff
1693352053.896029,0cfee900,ff ff ff ff fa 71 00 00
1693352053.896620,0cfef200,00 00 ff ff ff ff ff ff
1693352053.897384,0cfef600,13 1d 48 ff ff ff ff ff
1693352054.200523,0cf00400,ff ff 82 c0 12 ff ff ff
1693352054.200750,0cfedf00,90 c0 12 ff ff ff ff ff
1693352054.504655,0cf00300,ff 00 16 ff ff ff ff ff
1693352054.504967,0cf00400,ff ff 81 c0 12 ff ff ff
1693352054.505512,0cfedf00,8d c0 12 ff ff ff ff ff
1693352054.506095,0cfee900,ff ff ff ff 12 72 00 00
1693352054.506655,0cfef600,15 1b 43 ff ff ff ff ff
1693352054.810040,0cf00400,ff ff 80 c0 12 ff ff ff
1693352054.810320,0cfedf00,93 c0 12 ff ff ff ff ff
1693352055.114198,0cf00300,ff 00 0c ff ff ff ff ff
1693352055.114461,0cf00400,ff ff 81 c0 12 ff ff ff
1693352055.115073,0cfedf00,8d c0 12 ff ff ff ff ff
1693352055.115625,0cfee900,ff ff ff ff 2a 72 00 00
1693352055.116241,0cfef200,00 00 ff ff ff ff ff ff
1693352055.116796,0cfef600,14 16 47 ff ff ff ff ff
1693352055.420013,0cf00400,ff ff 82 c0 12 ff ff ff
1693352055.420296,0cfedf00,8f c0 12 ff ff ff ff ff
1693352055.724232,0cf00300,ff 00 18 ff ff ff ff ff
1693352055.724504,0cf00400,ff ff 86 c0 12 ff ff ff
1693352055.725127,0cfedf00,8f c0 12 ff ff ff ff ff
1693352055.725666,0cfee900,ff ff ff ff 42 72 00 00
1693352055.726250,0cfeee00,36 63 60 26 ff ff ff ff
1693352055.726825,0cfeef00,1b ff ff 18 ff ff ff 84
1693352055.727393,0cfef600,1f 15 45 ff ff ff ff ff
1693352056.030280,0cf00400,ff ff 86 c0 12 ff ff ff
1693352056.030562,0cfedf00,93 c0 12 ff ff ff ff ff
1693352056.334539,0cf00300,ff 00 0e ff ff ff ff ff
1693352056.334961,0cf00400,ff ff 7e c0 12 ff ff ff
1693352056.335517,0cfedf00,95 c0 12 ff ff ff ff ff
1693352056.336090,0cfee900,ff ff ff ff 5a 72 00 00
1693352056.336677,0cfef200,00 00 ff ff ff ff ff ff
1693352056.337353,0cfef600,11 20 42 ff ff ff ff ff
1693352056.640351,0cf00400,ff ff 81 c0 12 ff ff ff
